breed,values
Labrador Retriever/American Staffordshire Terrier,1
Dachshund/American Staffordshire Terrier,1
Hovawart Mix,1
Harrier/Pointer,1
Border Collie/Canaan Dog,1
Border Collie/Dalmatian,1
Great Pyrenees/Siberian Husky,1
Guinea Mix,1
Australian Shepherd/Field Spaniel,1
English Bulldog/Pit Bull,1
Beagle/American Staffordshire Terrier,1
Queensland Heeler/Border Collie,1
Schnauzer Giant/Labrador Retriever,1
Sugar Glider,1
Chihuahua Longhair/Norfolk Terrier,1
Lowchen/Miniature Poodle,1
Shiba Inu/Dachshund,1
Unknown Mix,1
Treeing Walker Coonhound/Plott Hound,1
Miniature Poodle/American Eskimo,1
Jack Russell Terrier/Australian Shepherd,1
Maltese/Lhasa Apso,1
Collie Smooth/Golden Retriever,1
Pit Bull/Doberman Pinsch,1
Yorkshire Terrier/Australian Terrier,1
Doberman Pinsch/Rottweiler,1
Cavalier Span/Toy Poodle,1
Queensland Heeler/Basset Hound,1
Cardigan Welsh Corgi/Labrador Retriever,1
Pembroke Welsh Corgi/Golden Retriever,1
Pomeranian/Cocker Spaniel,1
Chow Chow/Border Collie,1
Border Collie/Doberman Pinsch,1
Lhasa Apso/Havanese,1
Rat Terrier/Pembroke Welsh Corgi,1
Miniature Pinscher/Pomeranian,1
Border Terrier/Dachshund Wirehair,1
Yorkshire Terrier/Parson Russell Terrier,1
Alaskan Malamute/Australian Kelpie,1
Siberian Husky/Great Pyrenees,1
Miniature Schnauzer/Standard Poodle,1
Dachshund Longhair/Australian Shepherd,1
Dachshund/Swedish Vallhund,1
Dutch Shepherd/Mastiff,1
Akita/Great Pyrenees,1
Golden Retriever/Brittany,1
Miniature Schnauzer/Lhasa Apso,1
Whippet/Jack Russell Terrier,1
Dutch/Rabbit Sh,1
Boxer/Whippet,1
Welsh Springer Spaniel/Labrador Retriever,1
Miniature Poodle/West Highland,1
Basset Hound/English Cocker Spaniel,1
Basset Hound/French Bulldog,1
Catahoula/Irish Wolfhound,1
Beagle/Chihuahua Longhair,1
Pointer/German Shorthair Pointer,1
Maltese/Border Collie,1
Manchester Terrier/Toy Fox Terrier,1
Rhod Ridgeback/Australian Cattle Dog,1
Rhod Ridgeback/Mastiff,1
Miniature Schnauzer/West Highland,1
Queensland Heeler/Great Dane,1
Conure Mix,1
Australian Cattle Dog/Vizsla,1
Basset Hound/English Pointer,1
Chinese Sharpei/Rat Terrier,1
American Wirehair Mix,1
Lhasa Apso/Pekingese,1
Miniature Pinscher/Yorkshire Terrier,1
Papillon/Border Collie,1
English Coonhound/Italian Greyhound,1
Collie Rough/Keeshond,1
Dogue De Bordeaux/American Bulldog,1
Rat Terrier/Pointer,1
Pit Bull/Belgian Malinois,1
Mastiff/Dutch Shepherd,1
Pointer/Chinese Sharpei,1
Miniature Schnauzer/Australian Cattle Dog,1
English Coonhound/German Shepherd,1
Australian Shepherd/Standard Poodle,1
Shetland Sheepdog/Italian Greyhound,1
Redbone Hound/Anatol Shepherd,1
Chihuahua Shorthair/Parson Russell Terrier,1
Silkie Mix,1
Norwegian Elkhound Mix,1
Dutch Shepherd/Boxer,1
Great Pyrenees/Queensland Heeler,1
Boxer/Redbone Hound,1
Collie Smooth/Miniature Poodle,1
Toy Poodle/Cocker Spaniel,1
Vizsla/Boxer,1
Dachshund/Pomeranian,1
Queensland Heeler/German Shepherd,1
Dachshund Longhair/Toy Poodle,1
Chow Chow/Cardigan Welsh Corgi,1
Leghorn Mix,1
Chihuahua Shorthair/Shiba Inu,1
Australian Cattle Dog/American Foxhound,1
Labrador Retriever/Saluki,1
Pit Bull/Cardigan Welsh Corgi,1
Treeing Walker Coonhound/Australian Cattle Dog,1
Treeing Tennesse Brindle,1
Mastiff/Akita,1
Chinese Crested/Chihuahua Longhair,1
Cane Corso/Mastiff,1
English Bulldog/American Bulldog,1
German Pinscher/Whippet,1
American Foxhound/Pointer,1
Soft Coated Wheaten Terrier/Standard Poodle,1
Whippet/Whippet,1
Labrador Retriever/Harrier,1
Greater Swiss Mountain Dog,1
Jack Russell Terrier/Whippet,1
Australian Shepherd/Greyhound,1
Toy Fox Terrier/Dachshund,1
Collie Smooth/Jack Russell Terrier,1
Dachshund/Chinese Sharpei,1
Rottweiler/Blue Lacy,1
Lakeland Terrier Mix,1
Chihuahua Longhair/Italian Greyhound,1
Basset Hound/Black/Tan Hound,1
Irish Terrier/Irish Wolfhound,1
Cardigan Welsh Corgi/English Setter,1
Queensland Heeler/Labrador Retriever,1
Golden Retriever/Whippet,1
Domestic Medium Hair/Manx,1
Dutch,1
Whippet/German Shepherd,1
Jack Russell Terrier/Papillon,1
Jack Russell Terrier/Standard Schnauzer,1
Wire Hair Fox Terrier/German Shepherd,1
Boston Terrier/Australian Kelpie,1
Otter Mix,1
Pomeranian/Border Terrier,1
Smooth Fox Terrier/Rat Terrier,1
Cocker Spaniel/Standard Poodle,1
Akita/Mastiff,1
Border Terrier/Miniature Schnauzer,1
Labrador Retriever/Finnish Spitz,1
Boykin Span/Dachshund,1
Flat Coat Retriever/Chow Chow,1
St. Bernard Rough Coat/Great Pyrenees,1
Chinese Sharpei/Basset Hound,1
Bull Terrier/Jack Russell Terrier,1
Jindo/Shiba Inu,1
Australian Cattle Dog/Australian Kelpie,1
Vizsla/Pointer,1
American Pit Bull Terrier/Pointer,1
Lhasa Apso/Pbgv,1
Cairn Terrier/Shih Tzu,1
Cavalier Span/Papillon,1
Catahoula/Black Mouth Cur,1
Boxer/Jack Russell Terrier,1
Chow Chow/English Cocker Spaniel,1
Dandie Dinmont,1
Australian Shepherd/Jack Russell Terrier,1
Beagle/Boston Terrier,1
American Staffordshire Terrier/Plott Hound,1
Australian Cattle Dog/Golden Retriever,1
Chihuahua Longhair/Border Terrier,1
Australian Cattle Dog/Whippet,1
Anatol Shepherd/German Shorthair Pointer,1
Pointer/Dalmatian,1
Border Terrier/Border Collie,1
Beagle/Cavalier Span,1
Dachshund/Boxer,1
Catahoula/Chow Chow,1
Dachshund/Wire Hair Fox Terrier,1
Siberian Husky/Catahoula,1
Dachshund/Pembroke Welsh Corgi,1
Miniature Pinscher/Australian Cattle Dog,1
Australian Shepherd/Dachshund,1
Chihuahua Longhair/Queensland Heeler,1
Queensland Heeler/Shetland Sheepdog,1
Boxer/Bullmastiff,1
Whippet/Borzoi,1
Miniature Poodle/Golden Retriever,1
Pembroke Welsh Corgi/Anatol Shepherd,1
Newfoundland/Border Collie,1
Pembroke Welsh Corgi/Chinese Sharpei,1
Dachshund Wirehair/West Highland,1
Whippet/Shetland Sheepdog,1
Carolina Dog/Border Collie,1
Maltese/Dachshund,1
American Foxhound/Labrador Retriever,1
Basset Hound/Golden Retriever,1
Norfolk Terrier/Dachshund,1
German Shepherd/Whippet,1
Border Collie/American Staffordshire Terrier,1
Dogue De Bordeaux/Labrador Retriever,1
Canaan Dog/English Springer Spaniel,1
Yorkshire Terrier/Standard Poodle,1
Dalmatian/Pointer,1
Border Collie/Rottweiler,1
Pointer/Rhod Ridgeback,1
Chihuahua Shorthair/Lhasa Apso,1
Catahoula/Doberman Pinsch,1
Australian Cattle Dog/Rat Terrier,1
Cavalier Span/Border Collie,1
Pharaoh Hound/Australian Cattle Dog,1
Whippet/Beagle,1
Pembroke Welsh Corgi/Australian Shepherd,1
Smooth Fox Terrier/Chihuahua Shorthair,1
Miniature Poodle/Jack Russell Terrier,1
Pointer/Ibizan Hound,1
Chinese Sharpei/Pointer,1
Pekingese/Pug,1
German Shepherd/English Coonhound,1
Soft Coated Wheaten Terrier/Miniature Poodle,1
Jack Russell Terrier/Boston Terrier,1
Golden Retriever/Bearded Collie,1
Border Terrier/Labrador Retriever,1
Chihuahua Shorthair/Rhod Ridgeback,1
Alaskan Malamute/Akita,1
Goose Mix,1
Catahoula/Mastiff,1
Border Collie/Great Dane,1
Pit Bull/Jack Russell Terrier,1
Miniature Schnauzer/Dachshund,1
Vizsla/Staffordshire,1
Miniature Pinscher/Smooth Fox Terrier,1
Standard Schnauzer/Border Terrier,1
Rat Terrier/Pug,1
Beagle/Black Mouth Cur,1
Jack Russell Terrier/Cavalier Span,1
Rhod Ridgeback/Harrier,1
Boxer/Bulldog,1
Beagle/Australian Shepherd,1
Labrador Retriever/English Pointer,1
Skye Terrier/Miniature Poodle,1
Australian Kelpie/Alaskan Husky,1
Doberman Pinsch/Vizsla,1
American Staffordshire Terrier/French Bulldog,1
Cardigan Welsh Corgi/American Eskimo,1
Crow Mix,1
Standard Schnauzer/Soft Coated Wheaten Terrier,1
Basenji/Labrador Retriever,1
Pointer/Queensland Heeler,1
Dachshund/Cavalier Span,1
American Pit Bull Terrier/American Bulldog,1
Italian Greyhound/Beagle,1
American Bulldog/Chinese Sharpei,1
Rottweiler/Boxer,1
Cocker Spaniel/Beagle,1
Border Terrier/Pug,1
Greyhound/Great Dane,1
Feist/Chihuahua Shorthair,1
Plott Hound/Black/Tan Hound,1
Domestic Shorthair/Manx,1
Great Dane/Staffordshire,1
Beagle/Treeing Walker Coonhound,1
Airedale Terrier,1
Irish Wolfhound/Great Pyrenees,1
Chow Chow/Irish Setter,1
Bruss Griffon,1
Beagle/Manchester Terrier,1
Norfolk Terrier/Lhasa Apso,1
Australian Cattle Dog/Belgian Malinois,1
Cairn Terrier/Border Terrier,1
Australian Kelpie/Shiba Inu,1
Chinchilla-Amer Mix,1
Queensland Heeler/Parson Russell Terrier,1
English Pointer,1
English Coonhound/Australian Cattle Dog,1
Scottish Terrier/Miniature Poodle,1
Italian Greyhound/Cavalier Span,1
Collie Rough/Pembroke Welsh Corgi,1
Boykin Span,1
Labrador Retriever/St. Bernard Rough Coat,1
Basset Hound/Dachshund,1
Plott Hound/Border Collie,1
Rat Terrier/Border Collie,1
Pointer/Brittany,1
Chihuahua Shorthair/Cavalier Span,1
Yorkshire Terrier/Dachshund Wirehair,1
Bernese Mountain Dog/Rottweiler,1
Jindo/Labrador Retriever,1
Shih Tzu/Cavalier Span,1
Black Mouth Cur/Siberian Husky,1
Rat Terrier/English Pointer,1
Labrador Retriever/Akita,1
Dachshund/English Bulldog,1
Pekingese/Cavalier Span,1
Vizsla/Catahoula,1
Miniature Poodle/English Cocker Spaniel,1
Dachshund/Australian Kelpie,1
Dachshund/Shetland Sheepdog,1
American Bulldog/American Staffordshire Terrier,1
Miniature,1
Leonberger,1
Cocker Spaniel/Dachshund Longhair,1
Chow Chow/Pomeranian,1
Chinese Sharpei/Boxer,1
Alaskan Malamute/Alaskan Husky,1
Mexican Hairless,1
Blue Lacy/Chinese Sharpei,1
Australian Cattle Dog/Pug,1
Bichon Frise/Pekingese,1
Border Terrier/Soft Coated Wheaten Terrier,1
Dutch/Angora-Satin,1
Cairn Terrier/Scottish Terrier,1
Barred Rock Mix,1
Blue Lacy/Black Mouth Cur,1
Whippet/Australian Cattle Dog,1
Norfolk Terrier/Dachshund Wirehair,1
Staffordshire/French Bulldog,1
Lark Mix,1
Patterdale Terr/Chihuahua Shorthair,1
Golden Retriever/Finnish Spitz,1
German Shepherd/German Shepherd,1
Chinese Sharpei/American Staffordshire Terrier,1
Collie Smooth/Chow Chow,1
Coton De Tulear,1
Rat Terrier/Pit Bull,1
Checkered Giant Mix,1
Doberman Pinsch/Catahoula,1
Pekingese/Maltese,1
Australian Shepherd/Great Pyrenees,1
Finnish Spitz/Dachshund,1
Pembroke Welsh Corgi/Australian Cattle Dog,1
Bruss Griffon/Chihuahua Longhair,1
Boykin Span/Cocker Spaniel,1
Labrador Retriever/Irish Setter,1
American Staffordshire Terrier/Rhod Ridgeback,1
Australian Kelpie/Border Collie,1
Manchester Terrier/Chihuahua Longhair,1
Wire Hair Fox Terrier/Golden Retriever,1
Beagle/Cairn Terrier,1
Shetland Sheepdog/Dachshund Longhair,1
Catahoula/Siberian Husky,1
Border Terrier/Affenpinscher,1
Pit Bull/American Bulldog,1
Border Terrier/West Highland,1
Australian Cattle Dog/English Coonhound,1
Jack Russell Terrier/Chihuahua Longhair,1
Blue Lacy/Great Dane,1
Mastiff/Cane Corso,1
Shih Tzu/Norfolk Terrier,1
Maltese/Chihuahua Shorthair,1
Saluki/Labrador Retriever,1
Jack Russell Terrier/Pointer,1
Dachshund Longhair/Golden Retriever,1
Song Bird Mix,1
Chihuahua Shorthair/Boxer,1
German Shepherd/Smooth Fox Terrier,1
Shetland Sheepdog/Pomeranian,1
Chihuahua Shorthair/Rottweiler,1
Great Pyrenees/Collie Rough,1
Maltese/Standard Poodle,1
Kuvasz/Labrador Retriever,1
Collie Rough/Australian Cattle Dog,1
Greyhound/Border Collie,1
German Shorthair Pointer/Australian Cattle Dog,1
Dogue De Bordeaux,1
Tropical Mix,1
Whippet/Rat Terrier,1
Brittany/Chihuahua Shorthair,1
Border Terrier/Standard Schnauzer,1
Australian Shepherd/Beagle,1
Cocker Spaniel/Basset Hound,1
Plott Hound/Dutch Shepherd,1
Pekingese/Tibetan Terrier,1
Entlebucher Mix,1
Australian Cattle Dog/Alaskan Husky,1
Black/Tan Hound/German Shepherd,1
Cockatoo Mix,1
Dachshund/German Shepherd,1
Cocker Spaniel/Shetland Sheepdog,1
Australian Shepherd/Siberian Husky,1
St. Bernard Rough Coat/Border Collie,1
Rottweiler/Australian Kelpie,1
Australian Shepherd/Collie Smooth,1
Australian Cattle Dog/Chinese Crested,1
Canaan Dog/Pit Bull,1
Rat Terrier/Pekingese,1
Boxer/Akita,1
Mastiff/Anatol Shepherd,1
Australian Shepherd/Collie Rough,1
Owl,1
Nova Scotia Duck Tolling Retriever/Golden Retriever,1
Cockatiel,1
Miniature Schnauzer/Scottish Terrier,1
Collie Rough/Chow Chow,1
Toy Poodle/Yorkshire Terrier,1
English Bulldog/Australian Cattle Dog,1
Labrador Retriever/Treeing Walker Coonhound,1
Cavalier Span/Pug,1
Rottweiler/Basset Hound,1
Anatol Shepherd/Australian Shepherd,1
Shih Tzu/Pekingese,1
Beagle/Harrier,1
American Staffordshire Terrier/Australian Cattle Dog,1
Boxer/Chow Chow,1
Chihuahua Longhair/Chihuahua Shorthair,1
Treeing Tennesse Brindle Mix,1
Pit Bull/Border Collie,1
Polish Mix,1
Staffordshire/Border Collie,1
Boxer/Harrier,1
Chinese Crested/Papillon,1
Treeing Walker Coonhound,1
Boerboel,1
Jack Russell Terrier/Brittany,1
Eng Toy Spaniel Mix,1
Australian Shepherd/Australian Kelpie,1
Miniature Pinscher/Whippet,1
Papillon/Yorkshire Terrier,1
Cardigan Welsh Corgi/Cardigan Welsh Corgi,1
Queensland Heeler/Great Pyrenees,1
Australian Shepherd/Parson Russell Terrier,1
Chihuahua Shorthair/Australian Terrier,1
Airedale Terrier/Irish Terrier,1
Silver Mix,1
Staffordshire/Australian Cattle Dog,1
Grand Basset Griffon Vendeen Mix,1
Nuthatch Mix,1
Havana Brown Mix,1
German Shepherd/Swedish Vallhund,1
Boxer/Cardigan Welsh Corgi,1
Dutch Shepherd/Anatol Shepherd,1
Australian Shepherd/Feist,1
German Shepherd/Weimaraner,1
Miniature Poodle/Border Terrier,1
Cardigan Welsh Corgi/Miniature Schnauzer,1
Welsh Terrier/Wire Hair Fox Terrier,1
Glen Of Imaal/Ibizan Hound,1
Norfolk Terrier/Standard Poodle,1
Pug/Boston Terrier,1
Border Collie/English Springer Spaniel,1
Shiba Inu/Chinese Sharpei,1
Airedale Terrier/Miniature Schnauzer,1
Border Collie/English Pointer,1
Yorkshire Terrier/Soft Coated Wheaten Terrier,1
Swiss Hound/Pit Bull,1
Papillon/Skye Terrier,1
Rat Terrier/American Pit Bull Terrier,1
Pit Bull/Anatol Shepherd,1
Bull Terrier/Border Collie,1
Jack Russell Terrier/American Staffordshire Terrier,1
Redbone Hound/Australian Cattle Dog,1
Anatol Shepherd/Siberian Husky,1
Irish Wolfhound/Australian Shepherd,1
Soft Coated Wheaten Terrier/Chihuahua Shorthair,1
Lowchen Mix,1
Chihuahua Longhair/Rat Terrier,1
Rat Terrier/Jack Russell Terrier,1
Vizsla/Rhod Ridgeback,1
Boston Terrier/Beagle,1
Australian Shepherd/Rhod Ridgeback,1
Flat Coat Retriever/Golden Retriever,1
Great Dane/German Shepherd,1
Collie Rough/Irish Setter,1
Lovebird Mix,1
Norwich Terrier/Border Terrier,1
Keeshond,1
Australian Shepherd/English Springer Spaniel,1
Ocicat Mix,1
Pug/Miniature Pinscher,1
Domestic Shorthair/Maine Coon,1
Silky Terrier/Maltese,1
Spanish Mastiff Mix,1
Pembroke Welsh Corgi/Chihuahua Longhair,1
Dachshund Stan Mix,1
Siberian Husky/Beagle,1
Anatol Shepherd/Black Mouth Cur,1
Lhasa Apso/Border Terrier,1
Bluetick Hound/Australian Cattle Dog,1
Lop-Holland,1
Cardigan Welsh Corgi/Australian Kelpie,1
Toy Poodle/Dachshund,1
Plott Hound/Carolina Dog,1
Dachshund/Border Collie,1
Belgian Hare,1
German Shepherd/Vizsla,1
Catahoula/American Bulldog,1
Manx,1
Domestic Shorthair/Abyssinian,1
Golden Retriever/Cocker Spaniel,1
American Staffordshire Terrier/Jack Russell Terrier,1
English Bulldog/Staffordshire,1
Bullmastiff/Black Mouth Cur,1
Anatol Shepherd/Kangal,1
Shih Tzu/Border Terrier,1
Papillon/Miniature Poodle,1
Domestic Longhair/Russian Blue,1
Rhod Ridgeback/Bullmastiff,1
Pug/Pit Bull,1
Border Terrier/Bruss Griffon,1
Rat Terrier/Smooth Fox Terrier,1
Labrador Retriever/Pharaoh Hound,1
Potbelly Pig Mix,1
Boston Terrier/Rat Terrier,1
German Shepherd/Ibizan Hound,1
Cardigan Welsh Corgi/Chihuahua Longhair,1
Standard Poodle/Jack Russell Terrier,1
Akita/Chow Chow,1
Black Mouth Cur/Rhod Ridgeback,1
Smooth Fox Terrier,1
Soft Coated Wheaten Terrier/Border Terrier,1
Boxer/Dogue De Bordeaux,1
Labrador Retriever/American Foxhound,1
Rat Terrier/Queensland Heeler,1
Border Collie/Staffordshire,1
Miniature Schnauzer/Cocker Spaniel,1
Tortoise,1
Rhod Ridgeback/Pointer,1
Vizsla/German Shepherd,1
Pekingese/Pomeranian,1
Scottish Terrier/Basset Hound,1
Pekingese/Lhasa Apso,1
Harrier/German Shepherd,1
American Bulldog/Dalmatian,1
Shih Tzu/Australian Shepherd,1
Dachshund Wirehair/Shih Tzu,1
Australian Shepherd/Brittany,1
Hovawart,1
Lhasa Apso/Dachshund,1
Dutch Shepherd/Plott Hound,1
Cinnamon Mix,1
Miniature Schnauzer/Pug,1
Pit Bull/Border Terrier,1
Greyhound/Pointer,1
Shetland Sheepdog/Cavalier Span,1
Snowshoe/Domestic Shorthair,1
Border Collie/Standard Schnauzer,1
Collie Smooth/Beagle,1
Catahoula/Jack Russell Terrier,1
English Pointer/Labrador Retriever,1
Cavalier Span/Chihuahua Longhair,1
Black Mouth Cur/American Staffordshire Terrier,1
Cardigan Welsh Corgi/Rat Terrier,1
Smooth Fox Terrier/Labrador Retriever,1
Pembroke Welsh Corgi/Pit Bull,1
Mastiff/Plott Hound,1
Plott Hound/Whippet,1
Pit Bull/Jindo,1
Collie Smooth/Saluki,1
Blue Lacy/Cardigan Welsh Corgi,1
Shih Tzu/Affenpinscher,1
Pekingese/Catahoula,1
Dogo Argentino/Chinese Sharpei,1
Australian Cattle Dog/Chihuahua Shorthair,1
Greyhound/Dalmatian,1
Dachshund Longhair/Pembroke Welsh Corgi,1
Brittany/Collie Rough,1
Maltese/Papillon,1
American Bulldog/English Bulldog,1
Frog,1
Basenji/Rhod Ridgeback,1
Deer Mix,1
Rottweiler/Beagle,1
Old English Sheepdog Mix,1
Dachshund/German Pinscher,1
Australian Cattle Dog/American Staffordshire Terrier,1
Chinese Sharpei/Bull Terrier,1
St. Bernard Rough Coat/German Shepherd,1
Rat Terrier/Chihuahua Longhair,1
Belgian Sheepdog,1
Yorkshire Terrier/Chinese Crested,1
Great Pyrenees/Alaskan Husky,1
French Bulldog/English Bulldog,1
Dachshund Longhair/Pomeranian,1
Alaskan Husky/Labrador Retriever,1
Anatol Shepherd/Collie Rough,1
Chinese Sharpei/Beagle,1
Redbone Hound/Boxer,1
Bunting,1
Border Collie/Australian Kelpie,1
Bull Terrier/Australian Kelpie,1
Catahoula/Border Collie,1
Catahoula/Treeing Walker Coonhound,1
Pug/Cocker Spaniel,1
Dachshund/Havanese,1
Wren Mix,1
Pheasant Mix,1
English Springer Spaniel/Beagle,1
Greyhound/Saluki,1
French Bulldog/Pug,1
Pit Bull/Queensland Heeler,1
Australian Kelpie/Chinese Sharpei,1
Sealyham Terr Mix,1
Pit Bull/St. Bernard Smooth Coat,1
Great Dane/Pointer,1
Pit Bull/American Foxhound,1
Budgerigar,1
Bluetick Hound/Treeing Walker Coonhound,1
Norwich Terrier,1
Black/Tan Hound/Siberian Husky,1
Norfolk Terrier/Border Terrier,1
Labrador Retriever/Brittany,1
Border Collie/Brittany,1
Papillon/Australian Cattle Dog,1
Australian Kelpie/Bull Terrier,1
Rabbit Lh,1
Shetland Sheepdog/Basenji,1
Australian Cattle Dog/Treeing Walker Coonhound,1
Pit Bull/Pharaoh Hound,1
Staffordshire/Bulldog,1
Cocker Spaniel/Golden Retriever,1
Beagle/Staffordshire,1
Chow Chow/Rottweiler,1
Dachshund Longhair/Cairn Terrier,1
Vizsla/Beagle,1
Dachshund/Norfolk Terrier,1
Rhod Ridgeback/Chow Chow,1
Norfolk Terrier/Cairn Terrier,1
Chihuahua Longhair/Cavalier Span,1
Pug/Boxer,1
Greyhound/Airedale Terrier,1
Chow Chow/Australian Kelpie,1
Angora/Persian,1
Ringtail Mix,1
Australian Cattle Dog/Black Mouth Cur,1
Cocker Spaniel/Australian Shepherd,1
Dachshund/Dachshund,1
Domestic Shorthair/Domestic Medium Hair,1
Weimaraner/Plott Hound,1
Jack Russell Terrier/Manchester Terrier,1
American Eskimo/Australian Shepherd,1
Great Pyrenees/St. Bernard Rough Coat,1
Jack Russell Terrier/Miniature Schnauzer,1
Sparrow,1
Pointer/Basset Hound,1
Beagle/Pembroke Welsh Corgi,1
Cocker Spaniel/Chihuahua Longhair,1
Miniature Poodle/Chihuahua Longhair,1
Pit Bull/Dogue De Bordeaux,1
Cavalier Span/Jack Russell Terrier,1
Bobcat Mix,1
Chihuahua Shorthair/Bichon Frise,1
Miniature Schnauzer/Labrador Retriever,1
Chinese Sharpei/Airedale Terrier,1
Rat Terrier/Cairn Terrier,1
Australian Kelpie/Finnish Spitz,1
Cardigan Welsh Corgi/Cairn Terrier,1
Pembroke Welsh Corgi/Labrador Retriever,1
Cardigan Welsh Corgi/Pit Bull,1
Chihuahua Shorthair/Affenpinscher,1
Miniature Poodle/Italian Greyhound,1
Boxer/American Pit Bull Terrier,1
German Shorthair Pointer/Brittany,1
English Foxhound/Smooth Fox Terrier,1
Ibizan Hound/Pit Bull,1
Lhasa Apso/Yorkshire Terrier,1
French Bulldog/Dachshund,1
Great Dane/Australian Cattle Dog,1
Newfoundland/Queensland Heeler,1
Border Terrier/Cardigan Welsh Corgi,1
English Bulldog/American Staffordshire Terrier,1
St. Bernard Rough Coat/Labrador Retriever,1
Pembroke Welsh Corgi/Brittany,1
Border Collie/Shetland Sheepdog,1
Blue Lacy/Collie Smooth,1
Miniature Schnauzer/Dachshund Longhair,1
French Bulldog/Miniature Schnauzer,1
Miniature Pinscher/Maltese,1
Labrador Retriever/Bullmastiff,1
Australian Kelpie/Chihuahua Shorthair,1
Bullmastiff/Boxer,1
Bruss Griffon/Cairn Terrier,1
Shetland Sheepdog/Cardigan Welsh Corgi,1
Whippet/Miniature Pinscher,1
Lop-Amer Fuzzy Mix,1
Redbone Hound/Redbone Hound,1
Afghan Hound/Labrador Retriever,1
